id,text,created_at,like_count,retweet_count,lang,username
914278827001569286,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:33 +0000 2017,0,723,en,Ruby_Malka
914278829216198656,RT @NASAEarth: #HurricaneMaria's torrential rainfall measured from space. https://t.co/oXjOincrKY https://t.co/DbaJQGxOHn,Sun Oct 01 00:00:34 +0000 2017,0,486,en,myrnaly123
914278829702602752,Puerto Rico could feel the effects of Hurricane Maria for decades.. https://t.co/q8OOkYqPRC,Sun Oct 01 00:00:34 +0000 2017,0,0,en,sharebossindia
914278829958590465,RT @AynRandPaulRyan: 2- This is 5 days after Hurricane Maria hit Puerto Rico. Others on the call: https://t.co/geJvXDsgr4,Sun Oct 01 00:00:34 +0000 2017,0,997,en,deploycatattack
914278833997647872,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 00:00:35 +0000 2017,0,4586,en,AnnGartland
914278840054059008,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:36 +0000 2017,0,723,en,Wineguy_69
914278844047282176,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:37 +0000 2017,0,723,en,Houseofmokes
914278852238573569,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:39 +0000 2017,0,723,en,SCCDP
914278852293042177,"RT @marymauldin: HERE!!!! #CROOKS #PuertoRico #GraftGreed

Been reporting all morning! 

#Teamsters Argue 4 More $$$ In This TRAGEDY
https:…",Sun Oct 01 00:00:39 +0000 2017,0,30,en,malibujonfanti
914278852603424768,"Hurricane Maria’s death toll in Puerto Rico is higher than official count, experts say https://t.co/uoj6NjaQWq",Sun Oct 01 00:00:39 +0000 2017,2,1,en,nancyjeanbird
914278855812222976,"RT @EjHirschberger: Curt Schilling in Puerto Rico: Trump Provided Speedy Relief, But Execution on the Ground... https://t.co/njTqI3rE6I by…",Sun Oct 01 00:00:40 +0000 2017,0,16,en,statum_mike
914278858156896257,RT @thehill: Trump hits NFL players again while Puerto Rico recovers from Hurricane Maria https://t.co/yqUJig7JEs https://t.co/Y5dUpY0ayU,Sun Oct 01 00:00:40 +0000 2017,0,65,en,MrsManOfSteele
914278862862905344,"RT @LeoDiCaprio: Proud to support @Ricky_Martin’s efforts w/ @habitatpr, @WeCareSolar &amp; @MusicforRelief for Hurricane Maria relief: https:/…",Sun Oct 01 00:00:42 +0000 2017,0,2042,en,Kate_W_Official
914278865069006848,Hurricane Maria a reminder of 'second-class' status for some https://t.co/r6lHMcI4Yf #SmartNews,Sun Oct 01 00:00:42 +0000 2017,0,0,en,denuribe73
914278865400365056,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:42 +0000 2017,0,723,en,ana_cd
914278870617960451,RT @kikehndez: 100% of the profits are going to those directly affected by Hurricane Maria in PR! 🙏🏼🇵🇷 https://t.co/Pugcqify64 https://t.co…,Sun Oct 01 00:00:43 +0000 2017,0,319,en,mrmarkpotts
914278875470864384,"RT @USNavy: Today's photos of day: #USNavy’s Hurricane #Maria relief ops in #PuertoRico and #Dominica.
ℹ️ info and ⬇️ download: https://t.c…",Sun Oct 01 00:00:45 +0000 2017,0,1843,en,ONealDennis
914278878868312065,RT @kikehndez: 100% of the profits are going to those directly affected by Hurricane Maria in PR! 🙏🏼🇵🇷 https://t.co/Pugcqify64 https://t.co…,Sun Oct 01 00:00:45 +0000 2017,0,319,en,GersonBorrero
914278880088698880,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 00:00:46 +0000 2017,0,3525,en,JoshInCali
914278881741459456,"RT @PressSec: ""It is not the critic who counts...credit belongs to the man actually in the arena"" -TR
Proud of our military &amp; first respond…",Sun Oct 01 00:00:46 +0000 2017,0,1086,en,BlanchJohnson
914278882068615168,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,Sun Oct 01 00:00:46 +0000 2017,0,1583,en,Alexs1776
914278883809140736,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,Sun Oct 01 00:00:47 +0000 2017,0,1550,en,SociallySherri
914278894559260672,Doing more and environmental safe than @realDonaldTrump https://t.co/BNHIkMgWJc,Sun Oct 01 00:00:49 +0000 2017,0,0,en,stevemacwv
914278897176514560,RT @thehill: Trump hits NFL players again while Puerto Rico recovers from Hurricane Maria https://t.co/yqUJig7JEs https://t.co/Y5dUpY0ayU,Sun Oct 01 00:00:50 +0000 2017,0,65,en,fireballgrace
914278899114180609,"@realDonaldTrump Look, dipshit. https://t.co/Gr4muqQpNu",Sun Oct 01 00:00:50 +0000 2017,0,0,en,VincentEFXP
914278902482264064,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:51 +0000 2017,0,723,en,marigold1154
914278903090425858,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",Sun Oct 01 00:00:51 +0000 2017,0,4639,en,satirist_indian
914278904487120896,"Paul Krugman tweeted that ""Trumpie"" was responsible for cholera outbreak in Puerto Rico. One problem: https://t.co/Yhie4lyn9W",Sun Oct 01 00:00:51 +0000 2017,0,0,en,grateful_gary
914278905275666432,"RT @StevenTDennis: Parents not getting enough water for their babies in Puerto Rico. 
Hurricane Maria hit 9 days ago. https://t.co/CTRdHrsG…",Sun Oct 01 00:00:52 +0000 2017,0,1952,en,Camilasofia_16
914278908719071233,Shes a lib following the directions of Schumer and Pelosi https://t.co/VcG11skBWw,Sun Oct 01 00:00:52 +0000 2017,0,0,en,buhbyeobama17
914278912498089984,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,Sun Oct 01 00:00:53 +0000 2017,0,723,en,AnnaGaiter
914278912976461824,Have you heard from Puertorrican Rep. Congressman Labrador from #Idaho regarding his parents' and his birthplace PR? after#Hurricane Maria?,Sun Oct 01 00:00:53 +0000 2017,0,0,en,JACOSTALEZCANO
914278916847681536,RT @WorldVisionUSA: #HurricaneMaria left #PuertoRico potentially facing months without power. Help our relief efforts; DONATE: https://t.co…,Sun Oct 01 00:00:54 +0000 2017,0,11,en,LaurieKoehn
914278922824638464,"RT @HillaryClinton: President Trump, Sec. Mattis, and DOD should send the Navy, including the USNS Comfort, to Puerto Rico now. These are A…",Sun Oct 01 00:00:56 +0000 2017,0,89163,en,mr_baez15
914278923458023424,"RT @RedNationRising: Puerto Rican truck driver union is on strike refusing to deliver federal aid, demanding higher wages. President Trump…",Sun Oct 01 00:00:56 +0000 2017,0,275,en,HawleysJadefav
914278923776774144,"RT @AynRandPaulRyan: 5 - Meaning until Monday the 25th, (nearly a WEEK after Hurricane Maria made landfall), the WH had no plans to make an…",Sun Oct 01 00:00:56 +0000 2017,0,1733,en,deploycatattack
914278924556914688,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,Sun Oct 01 00:00:56 +0000 2017,0,1550,en,FredBoness
914278934388236289,RT @cnni: More than 95% of customers are without regular electricity service in Puerto Rico 10 days after Hurricane Maria hit https://t.co/…,Sun Oct 01 00:00:59 +0000 2017,0,116,en,soapdemon34
914278935374032896,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",Sun Oct 01 00:00:59 +0000 2017,0,4639,en,primfreak
914278935495667712,RT @PaganJohanne: Right in front of my sister @michipagan house in #SanJuan #PuertoRico #HurricaneMaria https://t.co/kgb0wlp8mq,Sun Oct 01 00:00:59 +0000 2017,0,2,en,olfashdeb
914278938104430594,"RT @Rasmussen_Poll: After #Harvey, #Irma, #Maria, Most Say #Hurricane Season is Worse This Year... https://t.co/SgtUDR96wn https://t.co/6qa…",Sun Oct 01 00:00:59 +0000 2017,0,3,en,irvingact3
914278938909831168,RT @WCKitchen: Support our #ChefsForPuertoRico providing meals to #HurricaneMaria victims. Donate now: https://t.co/jys67EFgtc. @chefjosean…,Sun Oct 01 00:01:00 +0000 2017,0,3019,en,PoliticalAnt
914278950439936000,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 00:01:02 +0000 2017,0,4586,en,solwrld_
914278955636658178,RT @Panoptico787: Amen. 🇵🇷❤️😜 @DavidBegnaud #HurricaneMaria #PuertoRico #davidbegnaud @CBSNews @NicolettaSun https://t.co/GQLlmjdyP0,Sun Oct 01 00:01:04 +0000 2017,0,1,en,elcoqueton
